"symbol","TS","time","open","high","low","close","volume"
"ETHUSD",1498435200000,"06/26/2017 01:00:00",276.64,286.85,214.99,251.3,389321.03386271
"ETHUSD",1498521600000,"06/27/2017 01:00:00",251,279,204.11,279,312878.23124261
"ETHUSD",1498608000000,"06/28/2017 01:00:00",279,318.27,255,311.62,260468.79031383
"ETHUSD",1498694400000,"06/29/2017 01:00:00",312.4,318.27,276,285.3,177947.39178427
"ETHUSD",1498780800000,"06/30/2017 01:00:00",286.17,301.9,267.35,275.62,110679.74269299
"ETHUSD",1498867200000,"07/01/2017 01:00:00",276.17,277.63,238,255,205479.07784344
"ETHUSD",1498953600000,"07/02/2017 01:00:00",255,285.91,242.81,277.61,140026.63257595
"ETHUSD",1499040000000,"07/03/2017 01:00:00",277.24,283.98,266.45,273.99,96367.88143952
"ETHUSD",1499126400000,"07/04/2017 01:00:00",273.97,283,260,266.68,121621.11746737
"ETHUSD",1499212800000,"07/05/2017 01:00:00",266.46,272.12,249.53,264.77,125024.92831154
"ETHUSD",1499299200000,"07/06/2017 01:00:00",264.71,273,258.37,265.35,68802.14266157
"ETHUSD",1499385600000,"07/07/2017 01:00:00",265.35,265.8,233.84,238.38,142556.40899999
"ETHUSD",1499472000000,"07/08/2017 01:00:00",238.39,246.66,226.68,245.23,104549.1069957
"ETHUSD",1499558400000,"07/09/2017 01:00:00",245.06,249,234.15,234.97,57685.24350411
"ETHUSD",1499644800000,"07/10/2017 01:00:00",235.44,238.01,187.5,202,288012.41552231
"ETHUSD",1499731200000,"07/11/2017 01:00:00",201.98,215,169,188.63,446914.12732408
"ETHUSD",1499817600000,"07/12/2017 01:00:00",188.22,225,177.78,223.92,312520.29519681
"ETHUSD",1499904000000,"07/13/2017 01:00:00",223.94,224.99,189.46,205,241090.00023468
"ETHUSD",1499990400000,"07/14/2017 01:00:00",204.99,207.76,179.58,196.49,278375.05884242
"ETHUSD",1500076800000,"07/15/2017 01:00:00",196.68,197.8,169.82,170.15,198814.19632813
"ETHUSD",1500163200000,"07/16/2017 01:00:00",170.21,172.7,136.12,157.4,604100.54558837
"ETHUSD",1500249600000,"07/17/2017 01:00:00",157.4,190.61,155,190.16,415423.87755818
"ETHUSD",1500336000000,"07/18/2017 01:00:00",190.16,258,177.5,226.56,721220.10098627
"ETHUSD",1500422400000,"07/19/2017 01:00:00",226.61,245.61,187,194.63,666400.62867101
"ETHUSD",1500508800000,"07/20/2017 01:00:00",194.63,238,194.63,227.29,605172.81762343
"ETHUSD",1500595200000,"07/21/2017 01:00:00",227.3,239,208,216.11,244667.66266184
"ETHUSD",1500681600000,"07/22/2017 01:00:00",216.09,237.19,214.35,232.01,159249.83768064
"ETHUSD",1500768000000,"07/23/2017 01:00:00",232.41,236.57,219,228.15,117587.40913463
"ETHUSD",1500854400000,"07/24/2017 01:00:00",228.22,232.56,223.64,226.59,101741.36816679
"ETHUSD",1500940800000,"07/25/2017 01:00:00",226.63,227.69,190.49,202.7,310194.06925323
"ETHUSD",1501027200000,"07/26/2017 01:00:00",202.88,209.59,191.76,203.33,196234.94575661
"ETHUSD",1501113600000,"07/27/2017 01:00:00",203.33,207,197.86,202.54,117595.63353928
"ETHUSD",1501200000000,"07/28/2017 01:00:00",202.55,204.19,188.1,191.2,141328.60808055
"ETHUSD",1501286400000,"07/29/2017 01:00:00",191.41,213,176.95,206.76,248035.17399602
"ETHUSD",1501372800000,"07/30/2017 01:00:00",206.77,210.76,192.21,195.31,149835.48229281
"ETHUSD",1501459200000,"07/31/2017 01:00:00",195.3,201.5,188.12,200.81,127154.44967677
"ETHUSD",1501545600000,"08/01/2017 01:00:00",200.82,232.59,200.8,225.97,353472.62286638
"ETHUSD",1501632000000,"08/02/2017 01:00:00",225.98,229.7,215,218,159650.08229385
"ETHUSD",1501718400000,"08/03/2017 01:00:00",218.01,228.2,217.07,224.79,96545.99104856
"ETHUSD",1501804800000,"08/04/2017 01:00:00",224.77,228.3,218.66,220.73,83825.58488458
"ETHUSD",1501891200000,"08/05/2017 01:00:00",220.73,259.9,219.23,253.87,235502.22851118
"ETHUSD",1501977600000,"08/06/2017 01:00:00",253.88,271.5,251,264.29,211376.14876408
"ETHUSD",1502064000000,"08/07/2017 01:00:00",264.31,274.6,257.32,269.51,146408.31806705
"ETHUSD",1502150400000,"08/08/2017 01:00:00",269.5,299.5,265,295.83,208610.85277305
"ETHUSD",1502236800000,"08/09/2017 01:00:00",295.8,316,277,293.99,401629.00123276
"ETHUSD",1502323200000,"08/10/2017 01:00:00",293.99,310.05,287.6,295.97,155841.15487071
"ETHUSD",1502409600000,"08/11/2017 01:00:00",295.91,310.42,294,308.81,130471.52597698
"ETHUSD",1502496000000,"08/12/2017 01:00:00",308.82,319.78,299,307.22,160789.6750943
"ETHUSD",1502582400000,"08/13/2017 01:00:00",307.19,308,285.21,296.64,166901.83120788
"ETHUSD",1502668800000,"08/14/2017 01:00:00",296.76,306.48,293.99,298.22,106333.02091747
"ETHUSD",1502755200000,"08/15/2017 01:00:00",298.6,299.91,272.29,286,180224.66870701
"ETHUSD",1502841600000,"08/16/2017 01:00:00",286,304,279.94,301.34,150728.25997992
"ETHUSD",1502928000000,"08/17/2017 01:00:00",301.32,312,297.01,299,137140.15804154
"ETHUSD",1503014400000,"08/18/2017 01:00:00",299.22,307,286,292,165681.4414302
"ETHUSD",1503100800000,"08/19/2017 01:00:00",292,298.51,280,292.78,158676.15951046
"ETHUSD",1503187200000,"08/20/2017 01:00:00",292.78,299,286.96,298.37,87247.48177595
"ETHUSD",1503273600000,"08/21/2017 01:00:00",298.37,346.99,294.53,322.24,330679.58980102
"ETHUSD",1503360000000,"08/22/2017 01:00:00",322.24,329.96,285.01,312.54,245697.52083623
"ETHUSD",1503446400000,"08/23/2017 01:00:00",312.81,325,311.65,316.5,115283.18743866
"ETHUSD",1503532800000,"08/24/2017 01:00:00",316.48,329.56,314.14,325.62,93545.01933594
"ETHUSD",1503619200000,"08/25/2017 01:00:00",325.55,338.25,324.04,328.7,108335.11521878
"ETHUSD",1503705600000,"08/26/2017 01:00:00",328.71,334.6,324.5,332.72,90337.00667888
"ETHUSD",1503792000000,"08/27/2017 01:00:00",332.62,348.01,331.88,348.01,103588.37381989
"ETHUSD",1503878400000,"08/28/2017 01:00:00",348.01,352,332.74,347.09,111485.95217938
"ETHUSD",1503964800000,"08/29/2017 01:00:00",347.19,375.98,346.42,372,180993.28458769
"ETHUSD",1504051200000,"08/30/2017 01:00:00",372.34,390.1,365.1,382.78,189613.25832342
"ETHUSD",1504137600000,"08/31/2017 01:00:00",382.31,390,380.1,387.3,98920.16101866
"ETHUSD",1504224000000,"09/01/2017 01:00:00",387.3,395.03,383.6,390.35,132096.26325562
"ETHUSD",1504310400000,"09/02/2017 01:00:00",390.13,390.77,325.1,345,309324.78532657
"ETHUSD",1504396800000,"09/03/2017 01:00:00",345,368.4,328.33,350.63,212826.16324032
"ETHUSD",1504483200000,"09/04/2017 01:00:00",350.98,351.59,275,295.81,571513.2543785
"ETHUSD",1504569600000,"09/05/2017 01:00:00",295.82,323.17,267.64,316.18,383246.5781327
"ETHUSD",1504656000000,"09/06/2017 01:00:00",316.03,339.5,314.81,337.36,230776.76354073
"ETHUSD",1504742400000,"09/07/2017 01:00:00",337.08,338.66,321.1,334.1,166933.26920516
"ETHUSD",1504828800000,"09/08/2017 01:00:00",334.45,334.58,291,304,310326.37876685
"ETHUSD",1504915200000,"09/09/2017 01:00:00",303.99,307.08,291.46,303.08,170048.55425804
"ETHUSD",1505001600000,"09/10/2017 01:00:00",303.2,305,276.11,297.9,255336.42898566
"ETHUSD",1505088000000,"09/11/2017 01:00:00",297.84,308,287.33,297.19,174200.92433139
"ETHUSD",1505174400000,"09/12/2017 01:00:00",297.2,316.73,283,293.9,262332.43019265
"ETHUSD",1505260800000,"09/13/2017 01:00:00",293.75,294.16,256,275.48,450422.40200224
"ETHUSD",1505347200000,"09/14/2017 01:00:00",275.48,281.01,221.71,222.5,644505.78911199
"ETHUSD",1505433600000,"09/15/2017 01:00:00",222.54,269,198,258.68,956989.09907524
"ETHUSD",1505520000000,"09/16/2017 01:00:00",258.25,270,242.2,253,309322.23348165
"ETHUSD",1505606400000,"09/17/2017 01:00:00",252.99,263.69,239,257,197346.41374804
"ETHUSD",1505692800000,"09/18/2017 01:00:00",257,299.89,257,296.81,379820.20153747
"ETHUSD",1505779200000,"09/19/2017 01:00:00",296.82,299,275,282.63,269394.82351785
"ETHUSD",1505865600000,"09/20/2017 01:00:00",282.64,294,277,283.5,146627.69959678
"ETHUSD",1505952000000,"09/21/2017 01:00:00",283.58,287.53,251.52,256.67,293714.08907508
"ETHUSD",1506038400000,"09/22/2017 01:00:00",256.71,269.5,253.03,262.19,184090.52055605
"ETHUSD",1506124800000,"09/23/2017 01:00:00",262.19,287.2,259.01,285.9,163399.14502929
"ETHUSD",1506211200000,"09/24/2017 01:00:00",285.9,294.54,275.41,282,197222.06517433
"ETHUSD",1506297600000,"09/25/2017 01:00:00",281.93,297.93,281.8,295.2,186936.14648863
"ETHUSD",1506384000000,"09/26/2017 01:00:00",295.06,296.38,285.2,289.28,104873.09534207
"ETHUSD",1506470400000,"09/27/2017 01:00:00",289.17,315.51,286.93,309.75,215016.03199622
"ETHUSD",1506556800000,"09/28/2017 01:00:00",309.83,310.69,297.75,302.63,140688.25464169
"ETHUSD",1506643200000,"09/29/2017 01:00:00",302.51,303.9,280.5,292.66,276915.29398632
"ETHUSD",1506729600000,"09/30/2017 01:00:00",292.74,307.76,292.3,303.44,131483.05721278
"ETHUSD",1506816000000,"10/01/2017 01:00:00",303.44,305.57,295,304.26,110281.72038604
"ETHUSD",1506902400000,"10/02/2017 01:00:00",304.24,304.63,292.1,296.82,134442.65535228
"ETHUSD",1506988800000,"10/03/2017 01:00:00",296.82,300.5,285.93,291.69,129996.90149638
"ETHUSD",1507075200000,"10/04/2017 01:00:00",291.69,296,287.56,291.4,113069.8982739
"ETHUSD",1507161600000,"10/05/2017 01:00:00",291.4,297.92,285.12,295.12,91605.41140231
"ETHUSD",1507248000000,"10/06/2017 01:00:00",295.09,309.59,293.04,308.43,107659.83161576
"ETHUSD",1507334400000,"10/07/2017 01:00:00",308.41,315,304.5,311.46,117241.01288757
"ETHUSD",1507420800000,"10/08/2017 01:00:00",311.46,314.39,307.55,309.82,104144.3479545
"ETHUSD",1507507200000,"10/09/2017 01:00:00",309.83,311.16,287.03,297.4,180903.36090347
"ETHUSD",1507593600000,"10/10/2017 01:00:00",297.43,307,292.57,299.32,104877.08482835
"ETHUSD",1507680000000,"10/11/2017 01:00:00",299.32,306.55,296.6,303.2,116411.88385806
"ETHUSD",1507766400000,"10/12/2017 01:00:00",303.32,310.01,302.1,303.06,186176.32766384
"ETHUSD",1507852800000,"10/13/2017 01:00:00",303.2,350,298,337.46,407091.35354854
"ETHUSD",1507939200000,"10/14/2017 01:00:00",337.44,348,334.05,339.24,151346.66041397
"ETHUSD",1508025600000,"10/15/2017 01:00:00",339.24,344.89,315,337.23,251396.82236936
"ETHUSD",1508112000000,"10/16/2017 01:00:00",337.05,355,330.85,334.46,271488.75261866
"ETHUSD",1508198400000,"10/17/2017 01:00:00",334.3,334.8,308,315.65,192295.88986619
"ETHUSD",1508198400000,"10/17/2017 01:00:00",334.3,334.8,308,315.65,192295.88986619
"ETHUSD",1508284800000,"10/18/2017 01:00:00",315.63,316.21,287.46,313.45,253404.50714429
"ETHUSD",1508371200000,"10/19/2017 01:00:00",313.42,316.5,304,306.97,118276.17755343
"ETHUSD",1508457600000,"10/20/2017 01:00:00",306.96,313.01,301.04,302.61,119341.59051962
"ETHUSD",1508544000000,"10/21/2017 01:00:00",302.57,303,289.31,299.23,105565.27234282
"ETHUSD",1508630400000,"10/22/2017 01:00:00",299.29,305.62,289.4,293.55,95667.36138689
"ETHUSD",1508716800000,"10/23/2017 01:00:00",293.52,293.96,273.5,284.85,171019.29294048
"ETHUSD",1508803200000,"10/24/2017 01:00:00",285,311.85,280.02,296.3,217203.08613358
"ETHUSD",1508889600000,"10/25/2017 01:00:00",296.3,300,288.5,295.46,94351.2187521
"ETHUSD",1508976000000,"10/26/2017 01:00:00",295.45,299,290.55,295.1,59672.34697163
"ETHUSD",1509062400000,"10/27/2017 01:00:00",295.02,299.5,291.6,295.99,68542.3009807
"ETHUSD",1509148800000,"10/28/2017 01:00:00",296,297.01,288.6,293.49,70589.77382236
"ETHUSD",1509235200000,"10/29/2017 01:00:00",293.59,312.49,290.5,304.39,167155.69393836
"ETHUSD",1509321600000,"10/30/2017 00:00:00",304.38,314.4,303.93,307,86761.33438983
"ETHUSD",1509408000000,"10/31/2017 00:00:00",306.99,312,303.1,303.69,81834.35450419
"ETHUSD",1509494400000,"11/01/2017 00:00:00",303.69,305.11,287.04,288.6,154793.77070359
"ETHUSD",1509580800000,"11/02/2017 00:00:00",288.84,293.01,275.21,284.89,260889.51155798
"ETHUSD",1509667200000,"11/03/2017 00:00:00",284.88,307.36,284,303.47,218812.57796824
"ETHUSD",1509753600000,"11/04/2017 00:00:00",303.47,304.38,293,299.48,133048.30731538
"ETHUSD",1509840000000,"11/05/2017 00:00:00",299.45,301,292.28,295.63,98781.88302626
"ETHUSD",1509926400000,"11/06/2017 00:00:00",295.38,310,292,296.9,159948.38671495
"ETHUSD",1510012800000,"11/07/2017 00:00:00",296.67,304.2,285.01,291.42,216907.09246409
"ETHUSD",1510099200000,"11/08/2017 00:00:00",291.39,318.9,290.11,307.5,337874.09790882
"ETHUSD",1510185600000,"11/09/2017 00:00:00",307.52,328.8,305,319.52,252662.29811955
"ETHUSD",1510272000000,"11/10/2017 00:00:00",319.52,324.03,286,296.18,356087.58188685
"ETHUSD",1510358400000,"11/11/2017 00:00:00",296.12,320,294.7,313.07,279575.15200467
"ETHUSD",1510444800000,"11/12/2017 00:00:00",313.25,316.99,293.33,303.9,491136.17494117
"ETHUSD",1510531200000,"11/13/2017 00:00:00",303.42,318,302.27,313.22,303201.69023579
"ETHUSD",1510617600000,"11/14/2017 00:00:00",313.31,336.97,313.22,334.28,421604.77519713
"ETHUSD",1510704000000,"11/15/2017 00:00:00",334.29,339.61,321.5,330.59,207407.86753743
"ETHUSD",1510790400000,"11/16/2017 00:00:00",330.89,335.11,321.18,331.16,196093.12491547
"ETHUSD",1510876800000,"11/17/2017 00:00:00",330.91,335.22,325,331,193408.25498008
"ETHUSD",1510963200000,"11/18/2017 00:00:00",331.09,350.4,325.32,346.68,215430.90136524
"ETHUSD",1511049600000,"11/19/2017 00:00:00",346.89,371,343.28,354.7,333209.04485558
"ETHUSD",1511136000000,"11/20/2017 00:00:00",354.71,373.7,352.03,367.94,197683.32353287
